"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NA.278",NA,NA,NA,NA,NA,NA,NA
"NA.279",NA,NA,NA,NA,NA,NA,NA
"NA.280",NA,NA,NA,NA,NA,NA,NA
"NA.281",NA,NA,NA,NA,NA,NA,NA
"NA.282",NA,NA,NA,NA,NA,NA,NA
"NA.283",NA,NA,NA,NA,NA,NA,NA
"NA.284",NA,NA,NA,NA,NA,NA,NA
"NA.285",NA,NA,NA,NA,NA,NA,NA
"NA.286",NA,NA,NA,NA,NA,NA,NA
"NA.287",NA,NA,NA,NA,NA,NA,NA
"NA.288",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185585",109.132789388846,-1.04929338957907,0.207584591623333,-5.05477492993813,4.30898619319215e-07,9.27988369423285e-05,"OLFML2A"
"NA.289",NA,NA,NA,NA,NA,NA,NA
"NA.290",NA,NA,NA,NA,NA,NA,NA
"NA.291",NA,NA,NA,NA,NA,NA,NA
"NA.292",NA,NA,NA,NA,NA,NA,NA
"NA.293",NA,NA,NA,NA,NA,NA,NA
"NA.294",NA,NA,NA,NA,NA,NA,NA
"ENSG00000181333",56.5818369416777,1.11170543840575,0.260242282693526,4.2718094342684,1.93893240442422e-05,0.00264011747875494,"HEPHL1"
"NA.295",NA,NA,NA,NA,NA,NA,NA
"NA.296",NA,NA,NA,NA,NA,NA,NA
"ENSG00000173432",183.14557047229,2.44812160005096,0.206050846504602,11.881152839604,1.48307715630983e-32,3.00026508721479e-29,"SAA1"
"NA.297",NA,NA,NA,NA,NA,NA,NA
"NA.298",NA,NA,NA,NA,NA,NA,NA
"NA.299",NA,NA,NA,NA,NA,NA,NA
"NA.300",NA,NA,NA,NA,NA,NA,NA
"NA.301",NA,NA,NA,NA,NA,NA,NA
"NA.302",NA,NA,NA,NA,NA,NA,NA
"NA.303",NA,NA,NA,NA,NA,NA,NA
"NA.304",NA,NA,NA,NA,NA,NA,NA
"NA.305",NA,NA,NA,NA,NA,NA,NA
"NA.306",NA,NA,NA,NA,NA,NA,NA
"NA.307",NA,NA,NA,NA,NA,NA,NA
"NA.308",NA,NA,NA,NA,NA,NA,NA
"NA.309",NA,NA,NA,NA,NA,NA,NA
"NA.310",NA,NA,NA,NA,NA,NA,NA
"NA.311",NA,NA,NA,NA,NA,NA,NA
"NA.312",NA,NA,NA,NA,NA,NA,NA
"NA.313",NA,NA,NA,NA,NA,NA,NA
"NA.314",NA,NA,NA,NA,NA,NA,NA
"NA.315",NA,NA,NA,NA,NA,NA,NA
"NA.316",NA,NA,NA,NA,NA,NA,NA
"ENSG00000244242",22.8726726398633,-1.89385947865392,0.459992061878528,-4.11715687205497,3.83574996738541e-05,0.00472330915549085,"IFITM10"
"NA.317",NA,NA,NA,NA,NA,NA,NA
"ENSG00000134339",144.449258459587,2.63416385741316,0.204278179832119,12.8949839849659,4.80362918514801e-38,2.2674730963627e-34,"SAA2"
"ENSG00000023445",66.6770096594262,1.5334336200244,0.25252193050384,6.0724770199754,1.25952127237658e-09,4.05365471321017e-07,"BIRC3"
"ENSG00000185885",13.2768632266496,2.06843481953154,0.595536416593811,3.473229783935,0.000514234886367242,0.0412981851214081,"IFITM1"
"NA.318",NA,NA,NA,NA,NA,NA,NA
"NA.319",NA,NA,NA,NA,NA,NA,NA
"NA.320",NA,NA,NA,NA,NA,NA,NA
"NA.321",NA,NA,NA,NA,NA,NA,NA
"NA.322",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185745",44.8489021682958,1.14070459761677,0.308672606445875,3.69551613520582,0.000219440542938709,0.0194914571095143,"IFIT1"
"NA.323",NA,NA,NA,NA,NA,NA,NA
"NA.324",NA,NA,NA,NA,NA,NA,NA
"NA.325",NA,NA,NA,NA,NA,NA,NA
"NA.326",NA,NA,NA,NA,NA,NA,NA
"NA.327",NA,NA,NA,NA,NA,NA,NA
"ENSG00000188613",9.04683438579156,-2.48102749395121,0.71453827105115,-3.47221078907557,0.000516190859860832,0.0412981851214081,"NANOS1"
"NA.328",NA,NA,NA,NA,NA,NA,NA
"NA.329",NA,NA,NA,NA,NA,NA,NA
"NA.330",NA,NA,NA,NA,NA,NA,NA
"NA.331",NA,NA,NA,NA,NA,NA,NA
"NA.332",NA,NA,NA,NA,NA,NA,NA
"NA.333",NA,NA,NA,NA,NA,NA,NA
"NA.334",NA,NA,NA,NA,NA,NA,NA
"NA.335",NA,NA,NA,NA,NA,NA,NA
"NA.336",NA,NA,NA,NA,NA,NA,NA
"NA.337",NA,NA,NA,NA,NA,NA,NA
"ENSG00000077150",287.196904219372,1.07978609465459,0.151934211270651,7.10693191233341,1.18650930615791e-12,4.94181126014769e-10,"NFKB2"
"NA.338",NA,NA,NA,NA,NA,NA,NA
"ENSG00000107968",19.9825804424124,2.04470694955143,0.461429094565614,4.43124842718534,9.36890744704314e-06,0.00145794613579756,"MAP3K8"
"NA.339",NA,NA,NA,NA,NA,NA,NA
"NA.340",NA,NA,NA,NA,NA,NA,NA
"NA.341",NA,NA,NA,NA,NA,NA,NA
"NA.342",NA,NA,NA,NA,NA,NA,NA
"ENSG00000089127",53.1877922536276,2.12103056736992,0.292107464730059,7.26113099961343,3.8386694944258e-13,1.69873120970512e-10,"OAS1"
"ENSG00000111335",167.544180218721,1.22931932829652,0.168286161911084,7.30493413324175,2.77402598177493e-13,1.29642398735475e-10,"OAS2"
"NA.343",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185479",654.017512236909,1.67133150891958,0.137330885041236,12.1701065890439,4.48496467185985e-34,1.27023169436415e-30,"KRT6B"
"NA.344",NA,NA,NA,NA,NA,NA,NA
"NA.345",NA,NA,NA,NA,NA,NA,NA
"NA.346",NA,NA,NA,NA,NA,NA,NA
"NA.347",NA,NA,NA,NA,NA,NA,NA
"NA.348",NA,NA,NA,NA,NA,NA,NA
"NA.349",NA,NA,NA,NA,NA,NA,NA
"NA.350",NA,NA,NA,NA,NA,NA,NA
"NA.351",NA,NA,NA,NA,NA,NA,NA
"NA.352",NA,NA,NA,NA,NA,NA,NA
"NA.353",NA,NA,NA,NA,NA,NA,NA
"NA.354",NA,NA,NA,NA,NA,NA,NA
"NA.355",NA,NA,NA,NA,NA,NA,NA
"NA.356",NA,NA,NA,NA,NA,NA,NA
"NA.357",NA,NA,NA,NA,NA,NA,NA
"ENSG00000111331",243.25356341814,1.33417365074349,0.174471553179942,7.64694087045513,2.05816908101663e-14,1.07947156875098e-11,"OAS3"
"NA.358",NA,NA,NA,NA,NA,NA,NA
"NA.359",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185432",22.8905461243333,-1.49145374804663,0.407329706790205,-3.66153934560633,0.000250704348658495,0.0219149646997095,"TMT1A"
"NA.360",NA,NA,NA,NA,NA,NA,NA
"NA.361",NA,NA,NA,NA,NA,NA,NA
"NA.362",NA,NA,NA,NA,NA,NA,NA
"NA.363",NA,NA,NA,NA,NA,NA,NA
"NA.364",NA,NA,NA,NA,NA,NA,NA
"NA.365",NA,NA,NA,NA,NA,NA,NA
"NA.366",NA,NA,NA,NA,NA,NA,NA
"NA.367",NA,NA,NA,NA,NA,NA,NA
"NA.368",NA,NA,NA,NA,NA,NA,NA
"NA.369",NA,NA,NA,NA,NA,NA,NA
"NA.370",NA,NA,NA,NA,NA,NA,NA
"NA.371",NA,NA,NA,NA,NA,NA,NA
"NA.372",NA,NA,NA,NA,NA,NA,NA
"NA.373",NA,NA,NA,NA,NA,NA,NA
"NA.374",NA,NA,NA,NA,NA,NA,NA
"NA.375",NA,NA,NA,NA,NA,NA,NA
"NA.376",NA,NA,NA,NA,NA,NA,NA
"NA.377",NA,NA,NA,NA,NA,NA,NA
"NA.378",NA,NA,NA,NA,NA,NA,NA
"NA.379",NA,NA,NA,NA,NA,NA,NA
"NA.380",NA,NA,NA,NA,NA,NA,NA
"NA.381",NA,NA,NA,NA,NA,NA,NA
"NA.382",NA,NA,NA,NA,NA,NA,NA
"NA.383",NA,NA,NA,NA,NA,NA,NA
"NA.384",NA,NA,NA,NA,NA,NA,NA
"NA.385",NA,NA,NA,NA,NA,NA,NA
"NA.386",NA,NA,NA,NA,NA,NA,NA
"NA.387",NA,NA,NA,NA,NA,NA,NA
"NA.388",NA,NA,NA,NA,NA,NA,NA
"NA.389",NA,NA,NA,NA,NA,NA,NA
"NA.390",NA,NA,NA,NA,NA,NA,NA
"ENSG00000196136",14.4921234856605,2.71245364475205,0.599437082035671,4.52500141556248,6.03951014599692e-06,0.00101824241899015,"SERPINA3"
"ENSG00000185215",183.009322620715,1.5504617483018,0.181155716505901,8.55872383277123,1.14123729885055e-17,7.02654843000986e-15,"TNFAIP2"
"ENSG00000165949",99.2145621016553,2.53424276619638,0.451658776523946,5.61096761077114,2.01198423672469e-08,5.93508832290484e-06,"IFI27"
"ENSG00000213928",36.8369206681867,1.2299468444431,0.322502783851585,3.81375574422674,0.000136870747495999,0.0131852153421145,"IRF9"
"NA.391",NA,NA,NA,NA,NA,NA,NA
"NA.392",NA,NA,NA,NA,NA,NA,NA
"ENSG00000140379",19.0571485576552,2.18432999917181,0.48789724802584,4.47702873506702,7.56890653179799e-06,0.00121799187950899,"BCL2A1"
"NA.393",NA,NA,NA,NA,NA,NA,NA
"NA.394",NA,NA,NA,NA,NA,NA,NA
"NA.395",NA,NA,NA,NA,NA,NA,NA
"NA.396",NA,NA,NA,NA,NA,NA,NA
"NA.397",NA,NA,NA,NA,NA,NA,NA
"NA.398",NA,NA,NA,NA,NA,NA,NA
"ENSG00000140519",276.599898684321,1.28437018717092,0.145002104312281,8.85759688290359,8.17577495491145e-19,5.51319757792862e-16,"RHCG"
"NA.399",NA,NA,NA,NA,NA,NA,NA
"NA.400",NA,NA,NA,NA,NA,NA,NA
"ENSG00000166920",154.920964863985,1.24127809556392,0.173614405702106,7.14962615310708,8.70145494851098e-13,3.73397889472315e-10,"COXFA4L3"
"NA.401",NA,NA,NA,NA,NA,NA,NA
"NA.402",NA,NA,NA,NA,NA,NA,NA
"NA.403",NA,NA,NA,NA,NA,NA,NA
"NA.404",NA,NA,NA,NA,NA,NA,NA
"NA.405",NA,NA,NA,NA,NA,NA,NA
"NA.406",NA,NA,NA,NA,NA,NA,NA
"NA.407",NA,NA,NA,NA,NA,NA,NA
"NA.408",NA,NA,NA,NA,NA,NA,NA
"NA.409",NA,NA,NA,NA,NA,NA,NA
"NA.410",NA,NA,NA,NA,NA,NA,NA
"NA.411",NA,NA,NA,NA,NA,NA,NA
"NA.412",NA,NA,NA,NA,NA,NA,NA
"NA.413",NA,NA,NA,NA,NA,NA,NA
"NA.414",NA,NA,NA,NA,NA,NA,NA
"NA.415",NA,NA,NA,NA,NA,NA,NA
"NA.416",NA,NA,NA,NA,NA,NA,NA
"NA.417",NA,NA,NA,NA,NA,NA,NA
"NA.418",NA,NA,NA,NA,NA,NA,NA
"NA.419",NA,NA,NA,NA,NA,NA,NA
"NA.420",NA,NA,NA,NA,NA,NA,NA
"NA.421",NA,NA,NA,NA,NA,NA,NA
"NA.422",NA,NA,NA,NA,NA,NA,NA
"NA.423",NA,NA,NA,NA,NA,NA,NA
"NA.424",NA,NA,NA,NA,NA,NA,NA
"NA.425",NA,NA,NA,NA,NA,NA,NA
"ENSG00000008517",228.128765672212,1.26810953174709,0.160271324832145,7.91226710751412,2.52743386086517e-15,1.37657657321968e-12,"IL32"
"NA.426",NA,NA,NA,NA,NA,NA,NA
"NA.427",NA,NA,NA,NA,NA,NA,NA
"NA.428",NA,NA,NA,NA,NA,NA,NA
"NA.429",NA,NA,NA,NA,NA,NA,NA
"NA.430",NA,NA,NA,NA,NA,NA,NA
"NA.431",NA,NA,NA,NA,NA,NA,NA
"NA.432",NA,NA,NA,NA,NA,NA,NA
"NA.433",NA,NA,NA,NA,NA,NA,NA
"NA.434",NA,NA,NA,NA,NA,NA,NA
"NA.435",NA,NA,NA,NA,NA,NA,NA
"NA.436",NA,NA,NA,NA,NA,NA,NA
"NA.437",NA,NA,NA,NA,NA,NA,NA
"NA.438",NA,NA,NA,NA,NA,NA,NA
"NA.439",NA,NA,NA,NA,NA,NA,NA
"NA.440",NA,NA,NA,NA,NA,NA,NA
"NA.441",NA,NA,NA,NA,NA,NA,NA
"NA.442",NA,NA,NA,NA,NA,NA,NA
"NA.443",NA,NA,NA,NA,NA,NA,NA
"NA.444",NA,NA,NA,NA,NA,NA,NA
"NA.445",NA,NA,NA,NA,NA,NA,NA
"NA.446",NA,NA,NA,NA,NA,NA,NA
"NA.447",NA,NA,NA,NA,NA,NA,NA
"NA.448",NA,NA,NA,NA,NA,NA,NA
"NA.449",NA,NA,NA,NA,NA,NA,NA
"NA.450",NA,NA,NA,NA,NA,NA,NA
"NA.451",NA,NA,NA,NA,NA,NA,NA
"NA.452",NA,NA,NA,NA,NA,NA,NA
"NA.453",NA,NA,NA,NA,NA,NA,NA
"NA.454",NA,NA,NA,NA,NA,NA,NA
"NA.455",NA,NA,NA,NA,NA,NA,NA
"NA.456",NA,NA,NA,NA,NA,NA,NA
"NA.457",NA,NA,NA,NA,NA,NA,NA
"NA.458",NA,NA,NA,NA,NA,NA,NA
"NA.459",NA,NA,NA,NA,NA,NA,NA
"NA.460",NA,NA,NA,NA,NA,NA,NA
"NA.461",NA,NA,NA,NA,NA,NA,NA
"ENSG00000108342",17.573989242991,4.57736661372752,0.816305474034888,5.60741874129817,2.05366377955185e-08,5.93508832290484e-06,"CSF3"
"ENSG00000173918",26.0867272655062,1.50028139228182,0.398654918633866,3.76335853931785,0.000167646575923158,0.015709316201011,"C1QTNF1"
"NA.462",NA,NA,NA,NA,NA,NA,NA
"NA.463",NA,NA,NA,NA,NA,NA,NA
"NA.464",NA,NA,NA,NA,NA,NA,NA
"NA.465",NA,NA,NA,NA,NA,NA,NA
"NA.466",NA,NA,NA,NA,NA,NA,NA
"NA.467",NA,NA,NA,NA,NA,NA,NA
"NA.468",NA,NA,NA,NA,NA,NA,NA
"NA.469",NA,NA,NA,NA,NA,NA,NA
"NA.470",NA,NA,NA,NA,NA,NA,NA
"NA.471",NA,NA,NA,NA,NA,NA,NA
"NA.472",NA,NA,NA,NA,NA,NA,NA
"NA.473",NA,NA,NA,NA,NA,NA,NA
"NA.474",NA,NA,NA,NA,NA,NA,NA
"NA.475",NA,NA,NA,NA,NA,NA,NA
"NA.476",NA,NA,NA,NA,NA,NA,NA
"NA.477",NA,NA,NA,NA,NA,NA,NA
"ENSG00000178726",99.1281817194457,-1.0112507259061,0.210836292758758,-4.79637880496782,1.6155962992175e-06,0.000325169557730831,"THBD"
"NA.478",NA,NA,NA,NA,NA,NA,NA
"NA.479",NA,NA,NA,NA,NA,NA,NA
"NA.480",NA,NA,NA,NA,NA,NA,NA
"NA.481",NA,NA,NA,NA,NA,NA,NA
"NA.482",NA,NA,NA,NA,NA,NA,NA
"NA.483",NA,NA,NA,NA,NA,NA,NA
"NA.484",NA,NA,NA,NA,NA,NA,NA
"NA.485",NA,NA,NA,NA,NA,NA,NA
"ENSG00000130589",52.2037592934708,1.005062034738,0.275421300498121,3.64918048429901,0.000263078229452639,0.0225784897410838,"HELZ2"
"NA.486",NA,NA,NA,NA,NA,NA,NA
"ENSG00000100985",69.3389275035025,2.1282223168312,0.290812706948247,7.31818887546045,2.51339946392746e-13,1.22731895891989e-10,"MMP9"
"NA.487",NA,NA,NA,NA,NA,NA,NA
"NA.488",NA,NA,NA,NA,NA,NA,NA
"ENSG00000124102",18.4471088638604,1.77968529400215,0.470265069121916,3.78443012432371,0.000154061183429914,0.0145444027903401,"PI3"
"NA.489",NA,NA,NA,NA,NA,NA,NA
"NA.490",NA,NA,NA,NA,NA,NA,NA
"NA.491",NA,NA,NA,NA,NA,NA,NA
"NA.492",NA,NA,NA,NA,NA,NA,NA
"NA.493",NA,NA,NA,NA,NA,NA,NA
"NA.494",NA,NA,NA,NA,NA,NA,NA
"NA.495",NA,NA,NA,NA,NA,NA,NA
"NA.496",NA,NA,NA,NA,NA,NA,NA
"NA.497",NA,NA,NA,NA,NA,NA,NA
"NA.498",NA,NA,NA,NA,NA,NA,NA
"NA.499",NA,NA,NA,NA,NA,NA,NA
"NA.500",NA,NA,NA,NA,NA,NA,NA
"NA.501",NA,NA,NA,NA,NA,NA,NA
"NA.502",NA,NA,NA,NA,NA,NA,NA
"NA.503",NA,NA,NA,NA,NA,NA,NA
"NA.504",NA,NA,NA,NA,NA,NA,NA
"NA.505",NA,NA,NA,NA,NA,NA,NA
"NA.506",NA,NA,NA,NA,NA,NA,NA
"NA.507",NA,NA,NA,NA,NA,NA,NA
"NA.508",NA,NA,NA,NA,NA,NA,NA
"NA.509",NA,NA,NA,NA,NA,NA,NA
"NA.510",NA,NA,NA,NA,NA,NA,NA
"NA.511",NA,NA,NA,NA,NA,NA,NA
"NA.512",NA,NA,NA,NA,NA,NA,NA
"NA.513",NA,NA,NA,NA,NA,NA,NA
"NA.514",NA,NA,NA,NA,NA,NA,NA
"NA.515",NA,NA,NA,NA,NA,NA,NA
"ENSG00000090339",346.135161163977,1.93431708996035,0.164731995327498,11.7422064008561,7.74394015100072e-32,1.09661936478321e-28,"ICAM1"
"NA.516",NA,NA,NA,NA,NA,NA,NA
"ENSG00000125730",1482.35663334039,1.45027851807432,0.107535842240703,13.4864663525681,1.87892356456909e-41,1.33037182989315e-37,"C3"
"NA.517",NA,NA,NA,NA,NA,NA,NA
"NA.518",NA,NA,NA,NA,NA,NA,NA
"NA.519",NA,NA,NA,NA,NA,NA,NA
"ENSG00000128342",232.570425967401,1.30724066029558,0.160604056537233,8.13952454552433,3.96833147610302e-16,2.34148091804562e-13,"LIF"
"NA.520",NA,NA,NA,NA,NA,NA,NA
"NA.521",NA,NA,NA,NA,NA,NA,NA
"NA.522",NA,NA,NA,NA,NA,NA,NA
"NA.523",NA,NA,NA,NA,NA,NA,NA
"NA.524",NA,NA,NA,NA,NA,NA,NA
"NA.525",NA,NA,NA,NA,NA,NA,NA
"NA.526",NA,NA,NA,NA,NA,NA,NA
"NA.527",NA,NA,NA,NA,NA,NA,NA
"NA.528",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185022",115.281312079358,1.01333612265692,0.189899376650903,5.33617403347122,9.49282924782932e-08,2.27843991489002e-05,"MAFF"
"ENSG00000100311",56.6829904815701,1.21574454693433,0.271166169655854,4.48339314774139,7.34653972352517e-06,0.00119579711522805,"PDGFB"
"NA.529",NA,NA,NA,NA,NA,NA,NA
"NA.530",NA,NA,NA,NA,NA,NA,NA
"NA.531",NA,NA,NA,NA,NA,NA,NA
"NA.532",NA,NA,NA,NA,NA,NA,NA
"NA.533",NA,NA,NA,NA,NA,NA,NA
"NA.534",NA,NA,NA,NA,NA,NA,NA
"NA.535",NA,NA,NA,NA,NA,NA,NA
"NA.536",NA,NA,NA,NA,NA,NA,NA
"ENSG00000183486",16.2073411161271,2.35706625104726,0.587204122714273,4.01404922048578,5.96858917370651e-05,0.00698522242056676,"MX2"
"ENSG00000157601",89.2856954508482,2.27005896631761,0.282136089754471,8.0459716028996,8.55638329391783e-16,4.84667775300682e-13,"MX1"
"NA.537",NA,NA,NA,NA,NA,NA,NA
"ENSG00000210144",36.5226669260998,-1.1629785743683,0.338683400885101,-3.43382218121415,0.000595134472810711,0.0455551311863377,NA
"NA.538",NA,NA,NA,NA,NA,NA,NA
